Created on March	22/03/2014 21:41	Temperature [°C] -- Flow [Kg/s] -- Radiation [W/m2] -- Drawing_up [l]
Date;T1.T;T3.T;T5.T
01/01/2014 00:00;323.15;288.15;293.15
01/01/2014 00:00;323.146;288.15;293.15
01/01/2014 00:01;322.748;288.159;293.148
01/01/2014 00:02;322.668;288.163;293.148
01/01/2014 00:03;322.35;288.209;293.147
01/01/2014 00:04;322.192;288.259;293.146
01/01/2014 00:05;321.955;288.342;293.145
01/01/2014 00:06;321.562;288.423;293.144
01/01/2014 00:06;320.333;288.474;293.143
01/01/2014 00:08;310.085;288.569;293.145
01/01/2014 00:08;306.326;288.589;293.147
01/01/2014 00:10;294.027;288.659;293.166
01/01/2014 00:11;292.399;288.678;293.172
01/01/2014 00:12;292.336;288.674;293.173
01/01/2014 00:13;292.247;288.652;293.179
01/01/2014 00:14;292.204;288.643;293.181
01/01/2014 00:15;292.14;288.633;293.185
01/01/2014 00:16;292.076;288.625;293.189
01/01/2014 00:16;292.034;288.621;293.191
01/01/2014 00:18;291.951;288.613;293.196
01/01/2014 00:18;291.93;288.611;293.197
01/01/2014 00:20;291.828;288.604;293.203
01/01/2014 00:21;291.728;288.598;293.208
01/01/2014 00:22;291.708;288.597;293.209
01/01/2014 00:23;291.629;288.593;293.213
01/01/2014 00:24;291.589;288.591;293.214
01/01/2014 00:25;291.531;288.589;293.217
01/01/2014 00:26;291.473;288.587;293.219
01/01/2014 00:26;291.435;288.585;293.221
01/01/2014 00:28;291.36;288.583;293.224
01/01/2014 00:28;291.341;288.582;293.225
01/01/2014 00:30;291.248;288.579;293.228
01/01/2014 00:31;291.157;288.576;293.231
01/01/2014 00:32;291.138;288.576;293.232
01/01/2014 00:33;291.066;288.574;293.234
01/01/2014 00:34;291.031;288.573;293.235
01/01/2014 00:35;290.978;288.572;293.237
01/01/2014 00:36;290.925;288.571;293.238
01/01/2014 00:36;290.89;288.57;293.239
01/01/2014 00:38;290.822;288.568;293.241
01/01/2014 00:38;290.804;288.568;293.241
01/01/2014 00:40;290.72;288.566;293.243
01/01/2014 00:41;290.636;288.564;293.244
01/01/2014 00:42;290.62;288.564;293.245
01/01/2014 00:43;290.554;288.563;293.246
01/01/2014 00:44;290.521;288.562;293.246
01/01/2014 00:45;290.473;288.561;293.247
01/01/2014 00:46;290.425;288.561;293.248
01/01/2014 00:46;290.393;288.56;293.248
01/01/2014 00:48;290.33;288.559;293.249
01/01/2014 00:48;290.314;288.559;293.249
01/01/2014 00:50;290.237;288.557;293.25
01/01/2014 00:51;290.16;288.556;293.251
01/01/2014 00:52;290.145;288.556;293.251
01/01/2014 00:53;290.085;288.555;293.251
01/01/2014 00:54;290.055;288.554;293.251
01/01/2014 00:55;290.011;288.554;293.252
01/01/2014 00:56;289.967;288.553;293.252
01/01/2014 00:56;289.937;288.552;293.252
01/01/2014 00:58;289.88;288.551;293.252
01/01/2014 00:58;289.865;288.551;293.252
01/01/2014 01:00;289.794;288.55;293.252
01/01/2014 01:01;289.724;288.549;293.252
01/01/2014 01:02;289.71;288.549;293.252
01/01/2014 01:03;289.654;288.548;293.252
01/01/2014 01:04;289.627;288.548;293.252
01/01/2014 01:05;289.586;288.547;293.252
01/01/2014 01:06;289.546;288.546;293.251
01/01/2014 01:06;289.519;288.546;293.251
01/01/2014 01:08;289.465;288.545;293.251
01/01/2014 01:08;289.452;288.545;293.251
01/01/2014 01:10;289.387;288.544;293.25
01/01/2014 01:11;289.322;288.543;293.25
01/01/2014 01:12;289.309;288.543;293.25
01/01/2014 01:13;289.258;288.542;293.249
01/01/2014 01:14;289.233;288.542;293.249
01/01/2014 01:15;289.195;288.541;293.248
01/01/2014 01:16;289.158;288.541;293.248
01/01/2014 01:16;289.133;288.541;293.248
01/01/2014 01:18;289.084;288.54;293.247
01/01/2014 01:18;289.072;288.54;293.247
01/01/2014 01:20;289.011;288.539;293.246
01/01/2014 01:21;288.951;288.538;293.245
01/01/2014 01:22;288.939;288.538;293.245
01/01/2014 01:23;288.892;288.537;293.244
01/01/2014 01:24;288.869;288.537;293.244
01/01/2014 01:25;288.834;288.537;293.243
01/01/2014 01:26;288.8;288.536;293.242
01/01/2014 01:26;288.777;288.536;293.242
01/01/2014 01:28;288.731;288.535;293.241
01/01/2014 01:28;288.72;288.535;293.241
01/01/2014 01:30;288.664;288.534;293.24
01/01/2014 01:31;288.609;288.534;293.238
01/01/2014 01:32;288.598;288.533;293.238
01/01/2014 01:33;288.554;288.533;293.237
01/01/2014 01:34;288.532;288.533;293.237
01/01/2014 01:35;288.5;288.532;293.236
01/01/2014 01:36;288.468;288.532;293.235
01/01/2014 01:36;288.447;288.531;293.235
01/01/2014 01:38;288.404;288.531;293.234
01/01/2014 01:38;288.394;288.531;293.233
01/01/2014 01:40;288.342;288.53;293.232
01/01/2014 01:40;288.328;288.53;293.232
01/01/2014 01:41;288.288;288.529;293.23
01/01/2014 01:42;288.277;288.529;293.23
01/01/2014 01:43;288.233;288.529;293.229
01/01/2014 01:44;288.21;288.529;293.228
01/01/2014 01:45;288.177;288.528;293.228
01/01/2014 01:46;288.144;288.528;293.227
01/01/2014 01:46;288.122;288.527;293.226
01/01/2014 01:48;288.078;288.527;293.225
01/01/2014 01:48;288.068;288.527;293.224
01/01/2014 01:50;288.014;288.526;293.223
01/01/2014 01:51;287.96;288.526;293.221
01/01/2014 01:52;287.949;288.526;293.221
01/01/2014 01:53;287.907;288.525;293.22
01/01/2014 01:54;287.886;288.525;293.219
01/01/2014 01:55;287.854;288.525;293.218
01/01/2014 01:56;287.823;288.524;293.217
01/01/2014 01:56;287.802;288.524;293.216
01/01/2014 01:58;287.76;288.524;293.215
01/01/2014 01:58;287.75;288.523;293.215
01/01/2014 02:00;287.698;288.523;293.213
01/01/2014 02:01;287.647;288.522;293.211
01/01/2014 02:02;287.637;288.522;293.211
01/01/2014 02:03;287.597;288.522;293.209
01/01/2014 02:04;287.577;288.522;293.209
01/01/2014 02:05;287.547;288.521;293.207
01/01/2014 02:06;287.517;288.521;293.206
01/01/2014 02:06;287.497;288.521;293.206
01/01/2014 02:08;287.457;288.521;293.204
01/01/2014 02:08;287.447;288.521;293.204
01/01/2014 02:10;287.398;288.52;293.202
01/01/2014 02:11;287.349;288.52;293.2
01/01/2014 02:12;287.34;288.52;293.2
