Created on March	28/03/2014 10:48		Temperature [°C] -- Flow [l/min] -- Radiation [W/m2] -- Drawing_up [l] -- State [0 or 100]
Date;T1.T;T3;T5
04/02/2014 00:16;50.00;15.00;20.00
04/02/2014 00:16;50.00;15.00;20.00
04/02/2014 00:18;49.60;15.01;20.00
04/02/2014 00:18;49.52;15.01;20.00
04/02/2014 00:20;49.20;15.06;20.00
04/02/2014 00:20;49.04;15.11;20.00
04/02/2014 00:21;48.81;15.19;20.00
04/02/2014 00:22;48.41;15.27;19.99
04/02/2014 00:23;47.18;15.32;19.99
04/02/2014 00:24;36.94;15.42;20.00
04/02/2014 00:25;33.18;15.44;20.00
04/02/2014 00:26;20.88;15.51;20.02
