Time,T1.T,T3.T,T5.T
0,323.15,288.15,293.15
1,323.146,288.15,293.15
1,323.146,288.15,293.15
100,322.748,288.159,293.148
100,322.748,288.159,293.148
120,322.668,288.163,293.148
200,322.35,288.209,293.147
200,322.35,288.209,293.147
240,322.192,288.259,293.146
300,321.955,288.342,293.145
300,321.955,288.342,293.145
360,321.562,288.423,293.144
400,320.333,288.474,293.143
400,320.333,288.474,293.143
480,310.085,288.569,293.145
500,306.326,288.589,293.147
500,306.326,288.589,293.147
600,294.027,288.659,293.166
600,294.027,288.659,293.166
600,294.027,288.659,293.166
700,292.399,288.678,293.172
700,292.399,288.678,293.172
720,292.336,288.674,293.173
800,292.247,288.652,293.179
800,292.247,288.652,293.179
840,292.204,288.643,293.181
900,292.14,288.633,293.185
900,292.14,288.633,293.185
960,292.076,288.625,293.189
1000,292.034,288.621,293.191
1000,292.034,288.621,293.191
1080,291.951,288.613,293.196
1100,291.93,288.611,293.197
1100,291.93,288.611,293.197
1200,291.828,288.604,293.203
1200,291.828,288.604,293.203
1200,291.828,288.604,293.203
1300,291.728,288.598,293.208
1300,291.728,288.598,293.208
1320,291.708,288.597,293.209
1400,291.629,288.593,293.213
1400,291.629,288.593,293.213
1440,291.589,288.591,293.214
1500,291.531,288.589,293.217
1500,291.531,288.589,293.217
1560,291.473,288.587,293.219
1600,291.435,288.585,293.221
1600,291.435,288.585,293.221
1680,291.36,288.583,293.224
1700,291.341,288.582,293.225
1700,291.341,288.582,293.225
1800,291.248,288.579,293.228
1800,291.248,288.579,293.228
1800,291.248,288.579,293.228
1900,291.157,288.576,293.231
1900,291.157,288.576,293.231
1920,291.138,288.576,293.232
2000,291.066,288.574,293.234
2000,291.066,288.574,293.234
2040,291.031,288.573,293.235
2100,290.978,288.572,293.237
2100,290.978,288.572,293.237
2160,290.925,288.571,293.238
2200,290.89,288.57,293.239
2200,290.89,288.57,293.239
2280,290.822,288.568,293.241
2300,290.804,288.568,293.241
2300,290.804,288.568,293.241
2400,290.72,288.566,293.243
2400,290.72,288.566,293.243
2400,290.72,288.566,293.243
2500,290.636,288.564,293.244
2500,290.636,288.564,293.244
2520,290.62,288.564,293.245
2600,290.554,288.563,293.246
2600,290.554,288.563,293.246
2640,290.521,288.562,293.246
2700,290.473,288.561,293.247
2700,290.473,288.561,293.247
2760,290.425,288.561,293.248
2800,290.393,288.56,293.248
2800,290.393,288.56,293.248
2880,290.33,288.559,293.249
2900,290.314,288.559,293.249
2900,290.314,288.559,293.249
3000,290.237,288.557,293.25
3000,290.237,288.557,293.25
3000,290.237,288.557,293.25
3100,290.16,288.556,293.251
3100,290.16,288.556,293.251
3120,290.145,288.556,293.251
3200,290.085,288.555,293.251
3200,290.085,288.555,293.251
3240,290.055,288.554,293.251
3300,290.011,288.554,293.252
3300,290.011,288.554,293.252
3360,289.967,288.553,293.252
3400,289.937,288.552,293.252
3400,289.937,288.552,293.252
3480,289.88,288.551,293.252
3500,289.865,288.551,293.252
3500,289.865,288.551,293.252
3600,289.794,288.55,293.252
3600,289.794,288.55,293.252
3600,289.794,288.55,293.252
3700,289.724,288.549,293.252
3700,289.724,288.549,293.252
3720,289.71,288.549,293.252
3800,289.654,288.548,293.252
3800,289.654,288.548,293.252
3840,289.627,288.548,293.252
3900,289.586,288.547,293.252
3900,289.586,288.547,293.252
3960,289.546,288.546,293.251
4000,289.519,288.546,293.251
4000,289.519,288.546,293.251
4080,289.465,288.545,293.251
4100,289.452,288.545,293.251
4100,289.452,288.545,293.251
4200,289.387,288.544,293.25
4200,289.387,288.544,293.25
4200,289.387,288.544,293.25
4300,289.322,288.543,293.25
4300,289.322,288.543,293.25
4320,289.309,288.543,293.25
4400,289.258,288.542,293.249
4400,289.258,288.542,293.249
4440,289.233,288.542,293.249
4500,289.195,288.541,293.248
4500,289.195,288.541,293.248
4560,289.158,288.541,293.248
4600,289.133,288.541,293.248
4600,289.133,288.541,293.248
4680,289.084,288.54,293.247
4700,289.072,288.54,293.247
4700,289.072,288.54,293.247
4800,289.011,288.539,293.246
4800,289.011,288.539,293.246
4800,289.011,288.539,293.246
4900,288.951,288.538,293.245
4900,288.951,288.538,293.245
4920,288.939,288.538,293.245
5000,288.892,288.537,293.244
5000,288.892,288.537,293.244
5040,288.869,288.537,293.244
5100,288.834,288.537,293.243
5100,288.834,288.537,293.243
5160,288.8,288.536,293.242
5200,288.777,288.536,293.242
5200,288.777,288.536,293.242
5280,288.731,288.535,293.241
5300,288.72,288.535,293.241
5300,288.72,288.535,293.241
5400,288.664,288.534,293.24
5400,288.664,288.534,293.24
5400,288.664,288.534,293.24
5500,288.609,288.534,293.238
5500,288.609,288.534,293.238
5520,288.598,288.533,293.238
5600,288.554,288.533,293.237
5600,288.554,288.533,293.237
5640,288.532,288.533,293.237
5700,288.5,288.532,293.236
5700,288.5,288.532,293.236
5760,288.468,288.532,293.235
5800,288.447,288.531,293.235
5800,288.447,288.531,293.235
5880,288.404,288.531,293.234
5900,288.394,288.531,293.233
5900,288.394,288.531,293.233
6000,288.342,288.53,293.232
6000,288.342,288.53,293.232
6000,288.342,288.53,293.232
6025.87,288.328,288.53,293.232
6025.87,288.328,288.53,293.232
6100,288.288,288.529,293.23
6100,288.288,288.529,293.23
6120,288.277,288.529,293.23
6200,288.233,288.529,293.229
6200,288.233,288.529,293.229
6240,288.21,288.529,293.228
6300,288.177,288.528,293.228
6300,288.177,288.528,293.228
6360,288.144,288.528,293.227
6400,288.122,288.527,293.226
6400,288.122,288.527,293.226
6480,288.078,288.527,293.225
6500,288.068,288.527,293.224
6500,288.068,288.527,293.224
6600,288.014,288.526,293.223
6600,288.014,288.526,293.223
6600,288.014,288.526,293.223
6700,287.96,288.526,293.221
6700,287.96,288.526,293.221
6720,287.949,288.526,293.221
6800,287.907,288.525,293.22
6800,287.907,288.525,293.22
6840,287.886,288.525,293.219
6900,287.854,288.525,293.218
6900,287.854,288.525,293.218
6960,287.823,288.524,293.217
7000,287.802,288.524,293.216
7000,287.802,288.524,293.216
7080,287.76,288.524,293.215
7100,287.75,288.523,293.215
7100,287.75,288.523,293.215
7200,287.698,288.523,293.213
7200,287.698,288.523,293.213
7200,287.698,288.523,293.213
7300,287.647,288.522,293.211
7300,287.647,288.522,293.211
7320,287.637,288.522,293.211
7400,287.597,288.522,293.209
7400,287.597,288.522,293.209
7440,287.577,288.522,293.209
7500,287.547,288.521,293.207
7500,287.547,288.521,293.207
7560,287.517,288.521,293.206
7600,287.497,288.521,293.206
7600,287.497,288.521,293.206
7680,287.457,288.521,293.204
7700,287.447,288.521,293.204
7700,287.447,288.521,293.204
7800,287.398,288.52,293.202
7800,287.398,288.52,293.202
7800,287.398,288.52,293.202
7900,287.349,288.52,293.2
7900,287.349,288.52,293.2
7920,287.34,288.52,293.2
8000,287.301,288.519,293.198
8000,287.301,288.519,293.198
8040,287.282,288.519,293.198
8100,287.253,288.519,293.196
8100,287.253,288.519,293.196
8160,287.224,288.519,293.195
8200,287.205,288.519,293.195
8200,287.205,288.519,293.195
8280,287.167,288.518,293.193
8300,287.158,288.518,293.193
8300,287.158,288.518,293.193
8400,287.111,288.518,293.191
8400,287.111,288.518,293.191
8400,287.111,288.518,293.191
8500,287.064,288.518,293.189
8500,287.064,288.518,293.189
8520,287.055,288.517,293.188
8600,287.017,288.517,293.187
8600,287.017,288.517,293.187
8640,286.999,288.517,293.186
8700,286.971,288.517,293.185
8700,286.971,288.517,293.185
8760,286.944,288.517,293.184
8800,286.925,288.517,293.183
8800,286.925,288.517,293.183
8880,286.889,288.516,293.181
