Created on April	23/04/2014 13:09		Temperature [°C] -- Flow [l/min] -- Radiation [W/m2] -- Drawing_up [l] -- State [0 or 100]
Date;T1.T;T3;T5
01/01/2014 00:00;50.00;15.00;20.00
01/01/2014 00:00;50.00;15.00;20.00
01/01/2014 00:01;49.60;15.01;20.00
01/01/2014 00:02;49.52;15.01;20.00
01/01/2014 00:03;49.20;15.06;20.00
01/01/2014 00:04;49.04;15.11;20.00
01/01/2014 00:05;48.81;15.19;20.00
01/01/2014 00:06;48.41;15.27;19.99
01/01/2014 00:06;47.18;15.32;19.99
01/01/2014 00:08;36.94;15.42;20.00
01/01/2014 00:08;33.18;15.44;20.00
01/01/2014 00:10;20.88;15.51;20.02
